x.pos,y.pos,year,month,day,Depth,TNO,survey,transect,area,Nhat,yearmonth,impact
394479.31,6160570.83,2005,11,19,33.12,102,1,2,0.956,0,200511,0
394461.82,6161070.42,2005,11,19,32.7,102,1,2,0.956,0,200511,0
394429.85,6161569.4,2005,11,19,31.14,102,1,2,0.956,0,200511,0
394398.79,6162068.3,2005,11,19,30.07,102,1,2,0.956,0,200511,0
394397.83,6162568.17,2005,11,19,30.4,102,1,2,0.956,0,200511,0
394430.36,6163066.96,2005,11,19,30.52,102,1,2,0.956,0,200511,0
394445.37,6163566.54,2005,11,19,30.63,102,1,2,0.956,0,200511,0
394429.38,6164066.23,2005,11,19,30.81,102,1,2,0.956,0,200511,0
394408.99,6164565.79,2005,11,19,30.89,102,1,2,0.956,0,200511,0
394395.54,6165065.6,2005,11,19,30.42,102,1,2,0.956,0,200511,0
394378.09,6165565.29,2005,11,19,29.45,102,1,2,0.956,0,200511,0
394355.11,6166064.76,2005,11,19,28.18,102,1,2,0.956,0,200511,0
394339.78,6166564.52,2005,11,19,26.75,102,1,2,0.956,0,200511,0
394332.77,6167064.46,2005,11,19,25.16,102,1,2,0.956,0,200511,0
394327.62,6167564.41,2005,11,19,24.97,102,1,2,0.956,0,200511,0
394307.88,6168064.01,2005,11,19,24.78,102,1,2,0.956,0,200511,0
394279.97,6168563.21,2005,11,19,24.54,102,1,2,0.956,0,200511,0
394261.05,6169062.85,2005,11,19,24.31,102,1,2,0.956,0,200511,0
394266.4,6169562.76,2005,11,19,24.07,102,1,2,0.956,0,200511,0
394275.38,6170062.66,2005,11,19,23.86,102,1,2,0.956,0,200511,0
394293.46,6170562.29,2005,11,19,23.68,102,1,2,0.956,0,200511,0
394314.99,6171061.79,2005,11,19,23.5,102,1,2,0.956,0,200511,0
394325.84,6171561.66,2005,11,19,23.36,102,1,2,0.956,0,200511,0
394333.66,6172061.5,2005,11,19,23.21,102,1,2,0.956,0,200511,0
394313.85,6172561.12,2005,11,19,23.21,102,1,2,0.956,0,200511,0
394291.28,6173060.57,2005,11,19,23.53,102,1,2,0.956,0,200511,0
394284.18,6173560.5,2005,11,19,23.79,102,1,2,0.956,0,200511,0
394277.26,6174060.44,2005,11,19,24.04,102,1,2,0.956,0,200511,0
394270.07,6174560.37,2005,11,19,24.36,102,1,2,0.956,0,200511,0
394266.36,6175060.33,2005,11,19,24.77,102,1,2,0.956,0,200511,0
394259.2,6175560.21,2005,11,19,24.97,102,1,2,0.956,0,200511,0
394278.42,6176059.78,2005,11,19,25,102,1,2,0.956,0,200511,0
394296.91,6176559.41,2005,11,19,25.07,102,1,2,0.956,0,200511,0
394303.86,6177059.35,2005,11,19,25.16,102,1,2,0.956,0,200511,0
394295.85,6177559.26,2005,11,19,25.27,102,1,2,0.956,0,200511,0
394286.93,6178059.16,2005,11,19,25.35,102,1,2,0.956,0,200511,0
394281.95,6178559.12,2005,11,19,25.34,102,1,2,0.956,0,200511,0
394277.49,6179059.09,2005,11,19,25.29,102,1,2,0.956,0,200511,0
394262.95,6179558.88,2005,11,19,25.22,102,1,2,0.956,0,200511,0
394235.08,6180058.08,2005,11,19,25.18,102,1,2,0.956,0,200511,0
394208.07,6180557.35,2005,11,19,25.14,102,1,2,0.956,0,200511,0
394175.72,6181056.36,2005,11,19,25.12,102,1,2,0.956,0,200511,0
394117.5,6181552.8,2005,11,19,25.13,102,1,2,0.956,0,200511,0
394045.51,6182047.12,2005,11,19,25.18,102,1,2,0.956,0,200511,0
396486.39,6181972.17,2005,11,19,23.35,103,1,3,0.921584,0,200511,0
396457.87,6181482.18,2005,11,19,23.3,103,1,3,0.956,0,200511,0
396446.93,6180982.34,2005,11,19,23.43,103,1,3,0.956,0,200511,0
396436.1,6180482.44,2005,11,19,23.6,103,1,3,0.956,0,200511,0
396436.25,6179982.46,2005,11,19,23.77,103,1,3,0.956,0,200511,0
396417.53,6179482.85,2005,11,19,23.95,103,1,3,0.956,0,200511,0
396395.08,6178983.36,2005,11,19,24.14,103,1,3,0.956,0,200511,0
396366.99,6178484.16,2005,11,19,24.24,103,1,3,0.956,0,200511,0
396353.36,6177984.39,2005,11,19,24.23,103,1,3,0.956,0,200511,0
396365.87,6177484.62,2005,11,19,24.16,103,1,3,0.956,0,200511,0
396388.28,6176985.14,2005,11,19,24.11,103,1,3,0.956,0,200511,0
396412.26,6176485.73,2005,11,19,24.06,103,1,3,0.956,0,200511,0
396424.3,6175985.87,2005,11,19,24.03,103,1,3,0.956,0,200511,0
396430.27,6175485.86,2005,11,19,24.01,103,1,3,0.956,0,200511,0
396456.39,6174986.69,2005,11,19,24.04,103,1,3,0.956,0,200511,0
396466.61,6174486.84,2005,11,19,24.02,103,1,3,0.956,0,200511,0
396474.04,6173987.05,2005,11,19,23.95,103,1,3,0.956,0,200511,0
396485.03,6173487.18,2005,11,19,23.82,103,1,3,0.956,0,200511,0
396482.84,6172987.21,2005,11,19,23.5,103,1,3,0.956,0,200511,0
396479.01,6172487.23,2005,11,19,22.99,103,1,3,0.956,0,200511,0
396484.98,6171987.3,2005,11,19,22.39,103,1,3,0.956,0,200511,0
396491.61,6171487.38,2005,11,19,21.79,103,1,3,0.956,0,200511,0
396473.02,6170987.79,2005,11,19,21.24,103,1,3,0.956,0,200511,0
396430.27,6170489.82,2005,11,19,20.78,103,1,3,0.956,0,200511,0
396356.68,6169995.49,2005,11,19,20.42,103,1,3,0.956,0,200511,0
396323.85,6169496.51,2005,11,19,20.62,103,1,3,0.956,0,200511,0
396320.04,6168996.62,2005,11,19,21.05,103,1,3,0.956,0,200511,0
396343.69,6168497.25,2005,11,19,21.5,103,1,3,0.956,0,200511,0
396368.83,6167997.89,2005,11,19,22.08,103,1,3,0.956,0,200511,0
396395.86,6167498.68,2005,11,19,22.88,103,1,3,0.956,0,200511,0
396417.28,6166999.2,2005,11,19,23.64,103,1,3,0.956,0,200511,0
396425.27,6166499.28,2005,11,19,24.27,103,1,3,0.956,0,200511,0
396423.48,6165999.29,2005,11,19,24.95,103,1,3,0.956,0,200511,0
396425.24,6165499.3,2005,11,19,25.56,103,1,3,0.956,0,200511,0
396412.63,6164999.5,2005,11,19,26.05,103,1,3,0.956,0,200511,0
396397.52,6164499.74,2005,11,19,26.4,103,1,3,0.956,0,200511,0
396380.82,6164000.03,2005,11,19,26.66,103,1,3,0.956,0,200511,0
396356.51,6163500.64,2005,11,19,26.74,103,1,3,0.956,0,200511,0
396346.67,6163000.73,2005,11,19,26.9,103,1,3,0.956,0,200511,0
396348.49,6162500.75,2005,11,19,27.28,103,1,3,0.956,0,200511,0
396350.5,6162000.76,2005,11,19,27.93,103,1,3,0.956,0,200511,0
396353.54,6161500.77,2005,11,19,29.17,103,1,3,0.956,0,200511,0
396345.65,6161000.79,2005,11,19,30.45,103,1,3,0.956,0,200511,0
396316.2,6160501.72,2005,11,19,31.68,103,1,3,0.956,0,200511,0
396311.78,6160001.84,2005,11,19,31.98,103,1,3,0.956,0,200511,0
396318.18,6159501.91,2005,11,19,31.97,103,1,3,0.956,0,200511,0
396310.94,6159001.98,2005,11,19,32.03,103,1,3,0.956,0,200511,0
396304.81,6158502.02,2005,11,19,32.11,103,1,3,0.956,0,200511,0
396302.44,6158002.03,2005,11,19,32.15,103,1,3,0.956,0,200511,0
396313.96,6157502.21,2005,11,19,32.11,103,1,3,0.956,0,200511,0
396328.89,6157002.55,2005,11,19,32.5,103,1,3,0.956,0,200511,0
396330.93,6156502.58,2005,11,19,32.54,103,1,3,0.956,0,200511,0
396319.19,6156002.77,2005,11,19,32.48,103,1,3,0.956,0,200511,0
396307.49,6155502.98,2005,11,19,32.42,103,1,3,0.956,0,200511,0
396321.22,6155003.29,2005,11,19,32.23,103,1,3,0.956,0,200511,0
396332.14,6154503.42,2005,11,19,31.94,103,1,3,0.956,0,200511,0
396337.3,6154003.48,2005,11,19,31.6,103,1,3,0.956,0,200511,0
396363,6153504.23,2005,11,19,31.24,103,1,3,0.956,0,200511,0
396373.12,6153004.31,2005,11,19,30.86,103,1,3,0.956,0,200511,0
396379.09,6152504.36,2005,11,19,30.43,103,1,3,0.956,0,200511,0
396380.71,6152004.37,2005,11,19,29.87,103,1,3,0.956,0,200511,0
396383.76,6151504.4,2005,11,19,28.97,103,1,3,0.956,0,200511,0
396400.77,6151004.68,2005,11,19,27.89,103,1,3,0.956,0,200511,0
396419.43,6150505.04,2005,11,19,26.79,103,1,3,0.956,0,200511,0
396433.27,6150005.25,2005,11,19,26.58,103,1,3,0.956,0,200511,0
396450.29,6149505.54,2005,11,19,26.54,103,1,3,0.956,0,200511,0
396518.14,6149010.47,2005,11,19,26.51,103,1,3,0.956,0,200511,0
396578.8,6148514.24,2005,11,19,26.52,103,1,3,0.956,0,200511,0
396608.92,6148015.23,2005,11,19,26.37,103,1,3,0.956,0,200511,0
396592.56,6147515.68,2005,11,19,25.75,103,1,3,0.956,0,200511,0
396564.99,6147016.2,2005,11,19,24.14,103,1,3,0.956,0,200511,0
398433.06,6146955.09,2005,11,19,23.52,104,1,4,0.818336,0,200511,0
398467.92,6147417.95,2005,11,19,25.2,104,1,4,0.956,0,200511,0
398508.28,6147916.32,2005,11,19,26.95,104,1,4,0.956,0,200511,0
398545,6148414.99,2005,11,19,28.43,104,1,4,0.956,0,200511,0
398563.87,6148914.56,2005,11,19,28.8,104,1,4,0.956,0,200511,0
398570.02,6149414.54,2005,11,19,29.18,104,1,4,0.956,0,200511,0
398579.27,6149914.44,2005,11,19,29.56,104,1,4,0.956,0,200511,0
